mL,CV,Channel,Fraction,Sample,Normalization,Value
-0.007007,-0.0002919583333333,mAU,1,Exp130_SEC,Signal,-0.700958
-0.004096,-0.0001706666666666,mAU,1,Exp130_SEC,Signal,-0.694058
-0.001184,-4.933333333333333e-05,mAU,1,Exp130_SEC,Signal,-0.693381
0.001727,7.195833333333334e-05,mAU,1,Exp130_SEC,Signal,-0.692683
0.004639,0.0001932916666666,mAU,1,Exp130_SEC,Signal,-0.69224
0.007551,0.000314625,mAU,1,Exp130_SEC,Signal,-0.689559
0.010462,0.0004359166666666,mAU,1,Exp130_SEC,Signal,-0.68613
0.013374,0.00055725,mAU,1,Exp130_SEC,Signal,-0.683374
0.016285,0.0006785416666666,mAU,1,Exp130_SEC,Signal,-0.679287
0.019197,0.0007998749999999,mAU,1,Exp130_SEC,Signal,-0.671568
0.022108,0.0009211666666666,mAU,1,Exp130_SEC,Signal,-0.655966
0.02502,0.0010425,mAU,1,Exp130_SEC,Signal,-0.633478
0.027931,0.0011637916666666,mAU,1,Exp130_SEC,Signal,-0.609234
0.030843,0.001285125,mAU,1,Exp130_SEC,Signal,-0.587453
0.033755,0.0014064583333333,mAU,1,Exp130_SEC,Signal,-0.570827
0.036666,0.0015277499999999,mAU,1,Exp130_SEC,Signal,-0.559486
0.039578,0.0016490833333333,mAU,1,Exp130_SEC,Signal,-0.550785
0.042489,0.001770375,mAU,1,Exp130_SEC,Signal,-0.543613
0.045401,0.0018917083333333,mAU,1,Exp130_SEC,Signal,-0.537183
0.048312,0.002013,mAU,1,Exp130_SEC,Signal,-0.532978
0.051224,0.0021343333333333,mAU,1,Exp130_SEC,Signal,-0.53097
0.054135,0.002255625,mAU,1,Exp130_SEC,Signal,-0.530691
0.057047,0.0023769583333333,mAU,1,Exp130_SEC,Signal,-0.531393
0.059959,0.0024982916666666,mAU,1,Exp130_SEC,Signal,-0.531728
0.06287,0.0026195833333333,mAU,1,Exp130_SEC,Signal,-0.530042
0.065782,0.0027409166666666,mAU,1,Exp130_SEC,Signal,-0.528124
0.068693,0.0028622083333333,mAU,1,Exp130_SEC,Signal,-0.530786
0.071605,0.0029835416666666,mAU,1,Exp130_SEC,Signal,-0.495545
0.074516,0.0031048333333333,mAU,1,Exp130_SEC,Signal,-0.383487
0.077428,0.0032261666666666,mAU,1,Exp130_SEC,Signal,-0.197226
0.080339,0.0033474583333333,mAU,1,Exp130_SEC,Signal,0.028402
0.083251,0.0034687916666666,mAU,1,Exp130_SEC,Signal,0.250246
0.086163,0.003590125,mAU,1,Exp130_SEC,Signal,0.439617
0.089074,0.0037114166666666,mAU,1,Exp130_SEC,Signal,0.59667
0.091986,0.00383275,mAU,1,Exp130_SEC,Signal,0.734529
0.094897,0.0039540416666666,mAU,1,Exp130_SEC,Signal,0.84582
0.097809,0.004075375,mAU,1,Exp130_SEC,Signal,0.937392
0.10072,0.0041966666666666,mAU,1,Exp130_SEC,Signal,1.01489
0.103632,0.004318,mAU,1,Exp130_SEC,Signal,1.077443
0.106543,0.0044392916666666,mAU,1,Exp130_SEC,Signal,1.122037
0.109455,0.004560625,mAU,1,Exp130_SEC,Signal,1.15109
0.112366,0.0046819166666666,mAU,1,Exp130_SEC,Signal,1.165957
0.115278,0.00480325,mAU,1,Exp130_SEC,Signal,1.098164
0.11819,0.0049245833333333,mAU,1,Exp130_SEC,Signal,0.950289
0.121101,0.005045875,mAU,1,Exp130_SEC,Signal,0.759139
0.124013,0.0051672083333333,mAU,1,Exp130_SEC,Signal,0.57139
0.126924,0.0052885,mAU,1,Exp130_SEC,Signal,0.406774
0.129836,0.0054098333333333,mAU,1,Exp130_SEC,Signal,0.267692
0.132747,0.005531125,mAU,1,Exp130_SEC,Signal,0.151376
0.135659,0.0056524583333333,mAU,1,Exp130_SEC,Signal,0.056005
0.13857,0.00577375,mAU,1,Exp130_SEC,Signal,-0.013903
0.141482,0.0058950833333333,mAU,1,Exp130_SEC,Signal,-0.066527
0.144394,0.0060164166666666,mAU,1,Exp130_SEC,Signal,-0.106466
0.147305,0.0061377083333333,mAU,1,Exp130_SEC,Signal,-0.140672
0.150217,0.0062590416666666,mAU,1,Exp130_SEC,Signal,-0.171489
0.153128,0.0063803333333333,mAU,1,Exp130_SEC,Signal,-0.197117
0.15604,0.0065016666666666,mAU,1,Exp130_SEC,Signal,-0.220156
0.158951,0.0066229583333333,mAU,1,Exp130_SEC,Signal,-0.233974
0.161863,0.0067442916666666,mAU,1,Exp130_SEC,Signal,-0.245779
0.164774,0.0068655833333333,mAU,1,Exp130_SEC,Signal,-0.257073
0.167686,0.0069869166666666,mAU,1,Exp130_SEC,Signal,-0.26761
0.170598,0.00710825,mAU,1,Exp130_SEC,Signal,-0.2781
0.173509,0.0072295416666666,mAU,1,Exp130_SEC,Signal,-0.287744
0.176421,0.007350875,mAU,1,Exp130_SEC,Signal,-0.295856
0.179332,0.0074721666666666,mAU,1,Exp130_SEC,Signal,-0.305266
0.182244,0.0075934999999999,mAU,1,Exp130_SEC,Signal,-0.318739
0.185155,0.0077147916666666,mAU,1,Exp130_SEC,Signal,-0.345291
0.188067,0.007836125,mAU,1,Exp130_SEC,Signal,-0.365763
0.190978,0.0079574166666666,mAU,1,Exp130_SEC,Signal,-0.380634
0.19389,0.00807875,mAU,1,Exp130_SEC,Signal,-0.394775
0.196802,0.0082000833333333,mAU,1,Exp130_SEC,Signal,-0.411662
0.199713,0.008321375,mAU,1,Exp130_SEC,Signal,-0.432346
0.202625,0.0084427083333333,mAU,1,Exp130_SEC,Signal,-0.456831
0.205536,0.008564,mAU,1,Exp130_SEC,Signal,-0.484194
