mL,Sample,Channel,Time,Normalization,Value
0.0,1,2475ChA ex280/em350,0.0,Signal,0.0
0.0024999999,1,2475ChA ex280/em350,0.008333333,Signal,0.0
0.005000001,1,2475ChA ex280/em350,0.01666667,Signal,0.0
0.0075,1,2475ChA ex280/em350,0.025,Signal,0.0
0.009999999,1,2475ChA ex280/em350,0.03333333,Signal,0.0
0.012500001,1,2475ChA ex280/em350,0.04166667,Signal,0.0
0.015,1,2475ChA ex280/em350,0.05,Signal,0.06377792
0.017499999,1,2475ChA ex280/em350,0.05833333,Signal,0.1585045
0.020000001,1,2475ChA ex280/em350,0.06666667,Signal,0.3411216999999999
0.0225,1,2475ChA ex280/em350,0.075,Signal,0.6555748
0.024999999,1,2475ChA ex280/em350,0.08333333,Signal,1.118465
0.027500001,1,2475ChA ex280/em350,0.09166667,Signal,1.722958
0.03,1,2475ChA ex280/em350,0.1,Signal,2.438778
0.03249999,1,2475ChA ex280/em350,0.1083333,Signal,3.215145
0.03500001,1,2475ChA ex280/em350,0.1166667,Signal,3.993465
0.0375,1,2475ChA ex280/em350,0.125,Signal,4.708309
0.03999999,1,2475ChA ex280/em350,0.1333333,Signal,5.312801
0.04250001,1,2475ChA ex280/em350,0.1416667,Signal,5.775692
0.045,1,2475ChA ex280/em350,0.15,Signal,6.088192
0.04749999,1,2475ChA ex280/em350,0.1583332999999999,Signal,6.271786
0.05000001,1,2475ChA ex280/em350,0.1666667,Signal,6.367489
0.0525,1,2475ChA ex280/em350,0.175,Signal,6.430965
0.05499999,1,2475ChA ex280/em350,0.1833333,Signal,6.429012
0.05750001,1,2475ChA ex280/em350,0.1916667,Signal,6.427059
0.06,1,2475ChA ex280/em350,0.2,Signal,6.425106
0.06249999,1,2475ChA ex280/em350,0.2083333,Signal,6.4212
0.06500001,1,2475ChA ex280/em350,0.2166667,Signal,6.41827
0.0675,1,2475ChA ex280/em350,0.225,Signal,6.413387
0.06999999,1,2475ChA ex280/em350,0.2333333,Signal,6.408504
0.07250001,1,2475ChA ex280/em350,0.2416666999999999,Signal,6.402645
0.075,1,2475ChA ex280/em350,0.25,Signal,6.395809
0.07749999,1,2475ChA ex280/em350,0.2583333,Signal,6.387997
0.08000001,1,2475ChA ex280/em350,0.2666667,Signal,6.380184
0.0825,1,2475ChA ex280/em350,0.275,Signal,6.370419
0.08499999,1,2475ChA ex280/em350,0.2833333,Signal,6.363583
0.08750001,1,2475ChA ex280/em350,0.2916667,Signal,6.354794
0.09,1,2475ChA ex280/em350,0.3,Signal,6.349911
0.09249999,1,2475ChA ex280/em350,0.3083333,Signal,6.344051
0.09500001,1,2475ChA ex280/em350,0.3166666999999999,Signal,6.343075
0.0975,1,2475ChA ex280/em350,0.325,Signal,6.342098
0.09999999,1,2475ChA ex280/em350,0.3333333,Signal,6.345028
0.10250001,1,2475ChA ex280/em350,0.3416667,Signal,6.349911
0.105,1,2475ChA ex280/em350,0.35,Signal,6.356747
0.10749999,1,2475ChA ex280/em350,0.3583332999999999,Signal,6.368465
0.11000001,1,2475ChA ex280/em350,0.3666666999999999,Signal,6.376278
0.1125,1,2475ChA ex280/em350,0.375,Signal,6.386044
0.11499999,1,2475ChA ex280/em350,0.3833333,Signal,6.38995
0.11750001,1,2475ChA ex280/em350,0.3916667,Signal,6.390926
0.12,1,2475ChA ex280/em350,0.4,Signal,6.385067
0.12249999,1,2475ChA ex280/em350,0.4083332999999999,Signal,6.376278
0.12500001,1,2475ChA ex280/em350,0.4166667,Signal,6.364559
0.1275,1,2475ChA ex280/em350,0.425,Signal,6.348934
0.12999999,1,2475ChA ex280/em350,0.4333333,Signal,6.337215
0.13250001,1,2475ChA ex280/em350,0.4416666999999999,Signal,6.32745
0.135,1,2475ChA ex280/em350,0.45,Signal,6.319637
0.13749999,1,2475ChA ex280/em350,0.4583333,Signal,6.313778
0.14000001,1,2475ChA ex280/em350,0.4666667,Signal,6.310848
0.1425,1,2475ChA ex280/em350,0.475,Signal,6.308895
0.14499999,1,2475ChA ex280/em350,0.4833332999999999,Signal,6.307919
0.14750001,1,2475ChA ex280/em350,0.4916666999999999,Signal,6.304012
0.15,1,2475ChA ex280/em350,0.5,Signal,6.304012
0.15249999,1,2475ChA ex280/em350,0.5083333,Signal,0.0
0.15500001,1,2475ChA ex280/em350,0.5166666999999999,Signal,0.0
0.1575,1,2475ChA ex280/em350,0.525,Signal,0.0
0.15999999,1,2475ChA ex280/em350,0.5333333,Signal,0.0
0.16250001,1,2475ChA ex280/em350,0.5416667,Signal,0.0
0.165,1,2475ChA ex280/em350,0.55,Signal,0.0
0.16749999,1,2475ChA ex280/em350,0.5583332999999999,Signal,2.47955e-05
0.17000001,1,2475ChA ex280/em350,0.5666667,Signal,2.47955e-05
0.1725,1,2475ChA ex280/em350,0.5750000000000001,Signal,2.47955e-05
0.17499999,1,2475ChA ex280/em350,0.5833332999999999,Signal,2.47955e-05
0.17750001,1,2475ChA ex280/em350,0.5916667,Signal,2.47955e-05
0.18,1,2475ChA ex280/em350,0.6000000000000001,Signal,0.001977921
